m, m/s, deg (90-shooter angle)
6.096,13.30000000000001,31.0
5.996,11.200000000000005,42.5
5.896,11.200000000000005,42.5
5.796,11.200000000000005,42.5
5.696,11.200000000000005,42.5
5.596,10.900000000000004,42.5
5.496,10.900000000000004,42.5
5.396,10.900000000000004,42.5
5.296,10.600000000000003,42.5
5.196,10.600000000000003,42.5
5.096,10.600000000000003,42.5
4.996,10.600000000000003,42.5
4.896,10.600000000000003,42.5
4.796,10.300000000000002,42.5
4.696,10.300000000000002,42.5
4.596,10.300000000000002,42.5
4.4959999999999996,10.300000000000002,42.5
4.396,10.000000000000002,42.5
4.295999999999999,10.000000000000002,42.5
4.196,10.000000000000002,42.5
4.096,10.000000000000002,42.5
3.9959999999999996,10.000000000000002,42.5
3.8959999999999995,9.700000000000001,42.5
3.7959999999999994,9.700000000000001,42.5
3.6959999999999993,9.700000000000001,42.5
3.595999999999999,9.700000000000001,42.5
3.495999999999999,9.700000000000001,42.5
3.395999999999999,9.4,43.0
3.295999999999999,9.4,43.0
3.195999999999999,9.4,43.0
3.0959999999999988,9.1,44.5
2.9959999999999987,9.1,44.5
2.8959999999999986,9.1,44.5
2.7959999999999985,8.799999999999999,46.0
2.6959999999999984,8.799999999999999,46.0
2.5959999999999983,8.499999999999998,48.0
2.495999999999998,8.499999999999998,48.0
2.395999999999998,8.499999999999998,48.0
2.295999999999998,8.199999999999998,50.0
2.195999999999998,8.199999999999998,50.0
2.0959999999999983,7.899999999999997,52.5
1.9959999999999987,7.899999999999997,52.5
1.895999999999999,7.899999999999997,52.5
1.7959999999999994,7.599999999999997,55.5
1.6959999999999997,7.599999999999997,55.5
1.596,7.599999999999997,55.5
